,engine_name,setup_name,dataset_name,search_idx,upload_time,total_upload_time,p95_time,rps,parallel,p99_time,mean_time,mean_precisions,engine_params
1,milvus,milvus-m-16-ef-128,dbpedia-openai-100K-1536-angular,1,38.46021354200002,95.87439070799974,0.01236049970032127,105.05952654388568,1,0.019991572079866304,0.008109208425598171,0.9975799999999999,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 256}"
0,milvus,milvus-m-16-ef-128,dbpedia-openai-100K-1536-angular,0,38.46021354200002,95.87439070799974,0.010666235750159113,128.02300167189594,1,0.023797345080106443,0.006492921623596067,0.9935799999999999,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 128}"
8,milvus,milvus-m-16-ef-128,glove-100-angular,2,78.89938366599381,286.21844245799,0.011076445846993008,118.8872658382069,1,0.024037925832235487,0.008137926315741789,0.934735,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 512}"
45,weaviate,weaviate-m-16-ef-128,glove-100-angular,3,636.3206043749997,636.3207889999994,0.014211133298886125,95.53185877449376,1,0.02408705916928742,0.010265299571406832,0.854554,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 512}"
2,milvus,milvus-m-16-ef-128,dbpedia-openai-100K-1536-angular,2,38.46021354200002,95.87439070799974,0.020628708649951477,56.29945904817248,1,0.032853758000273965,0.015967436986002666,0.99908,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 512}"
14,opensearch,opensearch-m-16-ef-128,glove-100-angular,2,512.7670241250007,514.883073125,0.04523105829966878,28.790144350524617,1,0.07267951666053707,0.034564219606604094,0.8382719999999999,"{'method': {'parameters': {'m': 16, 'ef_construction': 128}}, 'knn.algo_param.ef_search': 512}"
13,opensearch,opensearch-m-16-ef-128,glove-100-angular,1,512.7670241250007,514.883073125,0.06194375274908452,22.929842812566985,1,0.11422705783010323,0.04343198342770283,0.882541,"{'method': {'parameters': {'m': 16, 'ef_construction': 128}}, 'knn.algo_param.ef_search': 256}"
12,opensearch,opensearch-m-16-ef-128,glove-100-angular,0,512.7670241250007,514.883073125,0.0720018143010293,20.22871084855917,1,0.12631969491952078,0.049224280011608695,0.924054,"{'method': {'parameters': {'m': 16, 'ef_construction': 128}}, 'knn.algo_param.ef_search': 128}"
38,weaviate,weaviate-m-16-ef-128,dbpedia-openai-100K-1536-angular,4,55.530756457999814,55.53081745799864,0.10590721699982185,286.0836544509003,100,0.28874444658047727,0.031920806014000845,0.9545,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 64}"
39,weaviate,weaviate-m-16-ef-128,dbpedia-openai-100K-1536-angular,5,55.530756457999814,55.53081745799864,0.20189912674995866,204.0257871892741,100,0.35714644332945694,0.07886417880360204,0.9804600000000002,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 128}"
40,weaviate,weaviate-m-16-ef-128,dbpedia-openai-100K-1536-angular,6,55.530756457999814,55.53081745799864,0.35911804730067165,177.05603207703064,100,0.5332370060703218,0.19145180214900648,0.9922799999999999,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 256}"
4,milvus,milvus-m-16-ef-128,dbpedia-openai-100K-1536-angular,4,38.46021354200002,95.87439070799974,0.43036200564929517,28.681106879254582,100,0.8958957699997812,0.13173281896939806,0.9921200000000001,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 256}"
41,weaviate,weaviate-m-16-ef-128,dbpedia-openai-100K-1536-angular,7,55.530756457999814,55.53081745799864,0.6405889476008272,149.47969760681002,100,0.9157126425902973,0.33907495968661716,0.9964,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 512}"
5,milvus,milvus-m-16-ef-128,dbpedia-openai-100K-1536-angular,5,38.46021354200002,95.87439070799974,1.0702991663496964,21.430533944994384,100,1.535207779260773,0.4671611718688033,0.9965200000000001,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 512}"
24,qdrant,qdrant-m-16-ef-128,dbpedia-openai-100K-1536-angular,6,37.64732025000012,97.82627691700054,0.5890130752997721,32.296551057291886,100,1.6448830297605888,0.3582334646515983,0.996,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 256}"
23,qdrant,qdrant-m-16-ef-128,dbpedia-openai-100K-1536-angular,5,37.64732025000012,97.82627691700054,0.2376723753002807,40.59257647974512,100,1.819324431069519,0.08600512684418864,0.9912200000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 128}"
33,qdrant,qdrant-m-16-ef-128,glove-100-angular,7,48.45255966599507,258.83464474999346,0.9142569339441251,42.42333628219474,100,1.89356501240895,0.4790367309397698,0.9058219999999999,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 512}"
48,weaviate,weaviate-m-16-ef-128,glove-100-angular,6,636.3206043749997,636.3207889999994,1.9119994889499137,89.48202266345248,100,2.56949400374946,0.8297556936728102,0.790899,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 256}"
3,milvus,milvus-m-16-ef-128,dbpedia-openai-100K-1536-angular,3,38.46021354200002,95.87439070799974,0.9591945639501319,27.09074322869565,100,2.804204177750212,0.26447767656919724,0.9819599999999998,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 128}"
32,qdrant,qdrant-m-16-ef-128,glove-100-angular,6,48.45255966599507,258.83464474999346,0.8769451399050012,42.16675548478546,100,2.9665876635062163,0.43583337269459005,0.853075,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 256}"
11,milvus,milvus-m-16-ef-128,glove-100-angular,5,78.89938366599381,286.21844245799,1.8221538142504814,26.86449771732318,100,3.0619585638449642,0.8802480530211134,0.9347369999999999,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 512}"
30,qdrant,qdrant-m-16-ef-128,glove-100-angular,4,48.45255966599507,258.83464474999346,0.8556755541459999,37.77618834150387,100,3.217773254173823,0.32907485875596176,0.733513,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 64}"
31,qdrant,qdrant-m-16-ef-128,glove-100-angular,5,48.45255966599507,258.83464474999346,1.0684538083565709,33.455236455144124,100,3.2359865165756494,0.40456285912467865,0.786985,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 128}"
47,weaviate,weaviate-m-16-ef-128,glove-100-angular,5,636.3206043749997,636.3207889999994,1.8825880701994717,55.88149943218602,100,3.766344761419848,0.5992218269124902,0.712304,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 128}"
49,weaviate,weaviate-m-16-ef-128,glove-100-angular,7,636.3206043749997,636.3207889999994,2.754795552099672,69.22511190850203,100,4.111810115000682,1.1108237812944095,0.854554,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 512}"
10,milvus,milvus-m-16-ef-128,glove-100-angular,4,78.89938366599381,286.21844245799,0.8990253125011799,35.09113759059998,100,4.537283743743756,0.48163797267762276,0.888595,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 256}"
22,qdrant,qdrant-m-16-ef-128,dbpedia-openai-100K-1536-angular,4,37.64732025000012,97.82627691700054,0.37046240980007566,35.3876187195664,100,4.54489910300043,0.18311778721359442,0.97678,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 64}"
9,milvus,milvus-m-16-ef-128,glove-100-angular,3,78.89938366599381,286.21844245799,0.9882370538412942,31.549885092104397,100,6.440906182836628,0.5934348831242648,0.829263,"{'index_params': {'efConstruction': 128, 'M': 16}, 'ef': 128}"
46,weaviate,weaviate-m-16-ef-128,glove-100-angular,4,636.3206043749997,636.3207889999994,5.8100455205014425,21.675512785155938,100,7.466401851750581,2.965106081898602,0.679111,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 128, 'maxConnections': 16}, 'ef': 64}"
25,qdrant,qdrant-m-16-ef-128,dbpedia-openai-100K-1536-angular,7,37.64732025000012,97.82627691700054,4.159925308300444,19.3079744221876,100,9.407919077830396,2.242650818918398,0.99854,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 16, 'ef_construct': 128}, 'hnsw_ef': 512}"
16,opensearch,opensearch-m-16-ef-128,glove-100-angular,4,512.7670241250007,514.883073125,5.395100602698585,23.387600683390716,100,10.729392242578689,2.818441230771204,0.8382720000000001,"{'method': {'parameters': {'m': 16, 'ef_construction': 128}}, 'knn.algo_param.ef_search': 256}"
15,opensearch,opensearch-m-16-ef-128,glove-100-angular,3,512.7670241250007,514.883073125,4.084924427699479,26.657324018017754,100,11.734493998250327,2.449160772157199,0.8382719999999999,"{'method': {'parameters': {'m': 16, 'ef_construction': 128}}, 'knn.algo_param.ef_search': 128}"
17,opensearch,opensearch-m-16-ef-128,glove-100-angular,5,512.7670241250007,514.883073125,4.565662718749716,23.620598048333534,100,17.01085446158013,2.896795667480397,0.8382719999999999,"{'method': {'parameters': {'m': 16, 'ef_construction': 128}}, 'knn.algo_param.ef_search': 512}"
